id,name,region,jumps,pod_kills,ship_kills,npc_kills,station
30000089,Sosa,Derelik,21,0,0,0,F
30000090,Ilahed,Derelik,38,0,0,0,F
30000091,Eshwil,Derelik,4,0,0,0,F
30000092,Aranir,Derelik,9,0,0,103,T
30000093,Ishkad,Derelik,23,0,0,4,T
30000094,Hahyil,Derelik,6,0,0,136,F
30000095,Asilem,Derelik,2,0,0,0,F
30000096,Mahnagh,Derelik,2,0,0,0,F
30000097,Shach,Derelik,19,0,0,0,F
30000098,Kehrara,Derelik,25,0,0,0,T
30000099,Arena,Derelik,13,0,0,0,F
30000100,Timeor,Derelik,25,0,0,10,F
30000101,Uhtafal,Derelik,29,0,0,44,F
30000102,Dysa,Derelik,10,0,0,0,T
30000103,Serad,Derelik,19,0,0,104,T
30000104,Mahti,Derelik,5,0,0,0,F
30000105,Abha,Derelik,22,0,1,6,F
30000106,Shedoo,Derelik,136,0,0,73,F
30000107,Gamis,Derelik,74,1,1,112,T
30000108,Nieril,Derelik,4,0,0,0,F
30000109,Berta,Derelik,128,1,0,80,T
30000110,Bekirdod,Derelik,3,0,0,0,F
30000111,Hothomouh,Derelik,25,0,0,0,T
30000112,Arnola,Derelik,35,0,0,0,T
30000113,Astabih,Derelik,44,0,0,0,F
30000114,Ubtes,Derelik,41,0,0,19,F
30000115,Bimener,Derelik,10,0,0,0,F
30000116,Kenobanala,Derelik,36,1,1,8,F
30000117,Khabi,Derelik,53,0,0,32,F
30000118,Uanzin,Derelik,9,0,0,106,T
30000119,Itamo,The Forge,304,0,0,139,T
30000120,Mitsolen,The Forge,102,0,0,84,T
30000121,Jatate,The Forge,23,0,0,109,T
30000122,Mahtista,The Forge,38,0,1,323,F
30000123,Vaankalen,The Forge,28,0,0,131,T
30000124,Kylmabe,The Forge,14,0,0,94,F
30000125,Ahtulaima,The Forge,24,0,0,36,F
30000126,Geras,The Forge,395,0,0,160,T
30000127,Sirseshin,The Forge,339,0,2,155,T
30000128,Tuuriainas,The Forge,447,0,1,219,T
30000129,Unpas,The Forge,446,0,0,296,T
30000130,Shihuken,The Forge,220,0,0,331,T
30000131,Nomaa,The Forge,810,0,0,67,T
30000132,Ansila,The Forge,170,0,0,26,T
30000133,Hirtamon,The Forge,135,0,0,182,T
30000134,Hykkota,The Forge,115,0,0,256,T
30000135,Outuni,The Forge,35,0,0,175,T
30000136,Ohmahailen,The Forge,45,0,0,136,T
30000137,Eskunen,The Forge,15,0,0,82,T
30000138,Ikuchi,The Forge,319,0,1,140,T
30000139,Urlen,The Forge,2200,0,1,462,T
30000140,Maurasi,The Forge,448,1,0,893,T
30000141,Kisogo,The Forge,93,0,0,365,T
30000142,Jita,The Forge,2694,19,21,37,T
30000143,Niyabainen,The Forge,750,0,1,580,T
30000144,Perimeter,The Forge,2524,2,4,664,T
30000145,New Caldari,The Forge,1619,2,0,329,T
30000146,Saisio,The Forge,603,0,0,262,T
30000147,Abagawa,The Forge,87,0,0,536,T
30000148,Jakanerva,The Forge,572,0,0,234,T
30000149,Gekutami,The Forge,319,0,0,264,T
30000150,Hurtoken,The Forge,78,0,0,455,T
30000151,Uoyonen,The Forge,294,0,0,570,T
30000152,Hampinen,The Forge,288,0,1,304,T
30000153,Poinen,The Forge,1023,0,2,410,T
30000154,Liekuri,The Forge,299,0,1,772,T
30000155,Obanen,The Forge,718,0,0,900,F
30000156,Josameto,The Forge,1149,0,42,361,T
30000157,Otela,The Forge,157,0,5,482,T
30000158,Olo,The Forge,730,0,0,281,T
30000159,Ikami,The Forge,230,0,0,143,T
30000160,Reisen,The Forge,99,0,0,67,T
30000161,Purjola,The Forge,127,0,0,324,T
30000162,Maila,The Forge,56,0,0,187,T
30000163,Akora,The Forge,121,0,2,11,T
30000164,Messoya,The Forge,73,1,2,70,T
30000165,Ishisomo,The Forge,196,0,0,87,T
30000166,Airmia,The Forge,51,0,1,358,F
30000167,Sakkikainen,The Forge,165,0,0,317,T
30000168,Friggi,The Forge,124,0,0,262,T
30000169,Ihakana,The Forge,29,0,1,33,T
30000170,Vahunomi,The Forge,28,0,1,100,T
30000171,Otitoh,The Forge,32,0,0,525,T
30000172,Otomainen,The Forge,3,0,0,283,F
30000173,Vattuolen,The Forge,286,0,0,134,T
30000174,Onuse,The Forge,77,0,0,277,T
30000175,Soshin,The Forge,81,0,0,98,T
30000176,Keikaken,The Forge,47,0,0,97,T
30000177,Ukkalen,The Forge,21,0,0,220,T
30000178,Akkilen,The Forge,242,0,0,171,T
30000179,Silen,The Forge,42,0,0,39,T
30000180,Osmon,The Forge,773,0,6,1834,T
30000181,Korsiki,The Forge,423,0,0,2740,T
30000182,Inaya,The Forge,295,0,1,3139,T
30000183,Nuken,The Forge,32,0,0,223,T
30000184,Uminas,The Forge,31,0,0,484,T
30000185,Airaken,The Forge,208,0,5,1193,T
30000186,Oijanen,The Forge,155,0,1,28,F
30000187,Wuos,The Forge,54,0,0,353,T
30000188,Hentogaira,The Forge,192,0,0,150,T
30000189,Kiainti,The Forge,109,0,1,47,T
30000190,Vasala,The Forge,96,0,0,58,T
30000191,Walvalin,The Forge,10,0,0,0,F
30000192,Otanuomi,The Forge,34,0,0,4,T
30000193,Vouskiaho,The Forge,65,1,4,86,T
30000194,Otsela,The Forge,43,0,1,7,T
30000195,Tasti,The Forge,62,0,0,89,T
30000196,Otosela,The Forge,92,1,0,0,T
30000197,Uemon,The Forge,68,0,1,0,T
30000198,Paala,The Forge,40,0,0,0,F
30000199,Fuskunen,The Forge,22,0,0,2,F
30000200,Akkio,The Forge,78,0,0,2,T
30000201,Uchoshi,The Forge,45,0,0,112,T
30000202,Mastakomon,The Forge,53,0,0,71,T
30000203,Eruka,The Forge,7,1,0,0,T
30000204,Ohkunen,The Forge,46,0,1,45,T
30000205,Obe,The Forge,60,0,0,96,T
30000206,Wirashoda,The Forge,12,0,0,66,T
30000207,Osaa,The Forge,24,0,0,0,T
30000208,LZ-6SU,Vale of the Silent,9,0,0,4,T
30000209,MC6O-F,Vale of the Silent,58,0,0,55,F
30000210,U54-1L,Vale of the Silent,52,0,0,49,F
30000211,B-588R,Vale of the Silent,3,0,0,67,T
30000212,NCGR-Q,Vale of the Silent,56,0,0,0,F
30000213,G-LOIT,Vale of the Silent,16,0,0,0,T
30000214,HE-V4V,Vale of the Silent,8,0,0,57,F
30000215,N-HSK0,Vale of the Silent,14,1,0,0,T
30000216,05R-7A,Vale of the Silent,9,0,0,26,T
30000217,7-UH4Z,Vale of the Silent,9,0,0,0,T
30000218,5ZO-NZ,Vale of the Silent,1,0,0,0,F
30000219,FS-RFL,Vale of the Silent,4,0,0,80,T
30000220,Y0-BVN,Vale of the Silent,2,0,0,10,T
30000221,X97D-W,Vale of the Silent,7,0,0,166,F
30000222,0-R5TS,Vale of the Silent,52,0,0,70,F
30000223,H-UCD1,Vale of the Silent,54,0,0,161,F
30000224,7-K5EL,Vale of the Silent,58,0,0,106,T
30000225,H-5GUI,Vale of the Silent,96,0,1,0,F
30000226,FH-TTC,Vale of the Silent,33,0,0,0,T
30000227,FMBR-8,Vale of the Silent,12,0,0,135,F
30000228,3HX-DL,Vale of the Silent,13,0,0,45,T
30000229,UH-9ZG,Vale of the Silent,2,0,0,0,F
30000230,NFM-0V,Vale of the Silent,2,0,0,0,F
30000231,YXIB-I,Vale of the Silent,1,0,0,0,F
30000232,MY-T2P,Vale of the Silent,14,0,0,111,T
30000233,FA-DMO,Vale of the Silent,4,0,0,27,F
30000234,GEKJ-9,Vale of the Silent,5,0,0,27,F
30000235,Q-R3GP,Vale of the Silent,2,0,0,185,F
30000236,N-5QPW,Vale of the Silent,2,0,0,24,F
30000237,XV-8JQ,Vale of the Silent,0,0,0,0,F
30000238,WBR5-R,Vale of the Silent,135,0,0,0,T
30000239,4GYV-Q,Vale of the Silent,1,0,0,52,T
30000240,4-HWWF,Vale of the Silent,5,0,0,0,F
30000241,YMJG-4,Vale of the Silent,5,0,0,0,F
30000242,8TPX-N,Vale of the Silent,54,0,0,3,F
30000243,PM-DWE,Vale of the Silent,6,0,0,0,F
30000244,K8X-6B,Vale of the Silent,7,0,0,4,T
30000245,X445-5,Vale of the Silent,1,0,0,0,F
30000246,KRUN-N,Vale of the Silent,1,0,0,0,T
30000247,9OO-LH,Vale of the Silent,6,0,0,0,F
30000248,V-OJEN,Vale of the Silent,1,0,0,0,F
30000249,EIDI-N,Vale of the Silent,9,0,0,0,F
30000250,P3EN-E,Vale of the Silent,38,0,0,1,F
30000251,49-0LI,Vale of the Silent,1,0,0,0,F
30000252,IPAY-2,Vale of the Silent,17,0,0,0,F
30000253,DAYP-G,Vale of the Silent,6,0,0,2,F
30000254,IFJ-EL,Vale of the Silent,11,0,0,21,F
30000255,47L-J4,Vale of the Silent,17,0,0,0,F
30000256,Q-L07F,Vale of the Silent,8,0,0,0,F
30000257,E-D0VZ,Vale of the Silent,2,0,0,0,F
30000258,6WW-28,Vale of the Silent,4,0,0,34,F
30000259,A8A-JN,Vale of the Silent,13,0,0,0,T
30000260,S-NJBB,Vale of the Silent,8,0,0,0,T
30000261,T-GCGL,Vale of the Silent,34,0,0,0,T
30000262,0MV-4W,Vale of the Silent,22,0,0,173,T
30000263,TVN-FM,Vale of the Silent,142,3,4,0,T
30000264,V-NL3K,Vale of the Silent,22,0,0,0,F
30000265,AZBR-2,Vale of the Silent,105,0,0,32,T
30000266,Z-8Q65,Vale of the Silent,55,0,0,0,F
30000267,0J3L-V,Vale of the Silent,54,0,0,33,F
30000268,H-NOU5,Vale of the Silent,13,0,0,121,F
30000269,KX-2UI,Vale of the Silent,18,0,0,160,F
30000270,MO-FIF,Vale of the Silent,17,0,0,2,F
30000271,97-M96,Vale of the Silent,4,0,0,0,F
30000272,MA-XAP,Vale of the Silent,24,0,0,0,T
30000273,C-J7CR,Vale of the Silent,10,0,0,0,F
30000274,Q-EHMJ,Vale of the Silent,2,0,0,0,T
30000275,XSQ-TF,Vale of the Silent,1,0,0,0,T
30000276,H-1EOH,Vale of the Silent,1,0,0,0,F
30000277,IR-DYY,Vale of the Silent,4,1,0,0,T
30000278,C-DHON,Vale of the Silent,2,0,0,0,T
30000279,F-D49D,Vale of the Silent,6,0,0,210,T
30000280,MQ-O27,Vale of the Silent,7,0,0,49,F
30000281,H-EY0P,Vale of the Silent,3,0,0,0,F
30000282,UNAG-6,Vale of the Silent,4,0,0,0,F
30000283,E-SCTX,Vale of the Silent,3,0,0,0,T
30000284,S6QX-N,Vale of the Silent,22,0,0,134,T
30000285,IT-YAU,Vale of the Silent,10,0,0,0,F
30000286,1VK-6B,Vale of the Silent,9,0,0,6,F
30000287,7-PO3P,Vale of the Silent,1,0,0,11,T
30000288,1W-0KS,Vale of the Silent,13,0,0,0,F
30000289,669-IX,Vale of the Silent,1,0,0,0,F
30000290,0R-F2F,Vale of the Silent,1,0,0,0,F
30000291,R-P7KL,Vale of the Silent,2,0,0,83,T
30000292,2DWM-2,Vale of the Silent,4,0,0,0,T
30000293,XF-PWO,Vale of the Silent,1,0,0,0,F
30000294,1N-FJ8,Vale of the Silent,4,0,0,54,T
30000295,VI2K-J,Vale of the Silent,6,0,0,0,F
30000296,ZLZ-1Z,Vale of the Silent,7,0,0,0,T
30000297,6Y-WRK,Vale of the Silent,7,0,0,0,F
30000298,RVCZ-C,Vale of the Silent,1,0,0,21,F
30000299,5T-KM3,Vale of the Silent,4,0,0,101,T
30000300,LS9B-9,Vale of the Silent,2,0,0,57,T
30000301,1-GBBP,Vale of the Silent,24,0,0,0,F
30000302,C-FP70,Vale of the Silent,24,0,0,21,T
30000303,T-ZWA1,Vale of the Silent,21,0,0,0,T
30000304,ZA0L-U,Vale of the Silent,61,0,0,158,T
30000305,G96R-F,Vale of the Silent,14,0,0,160,F
30000306,Y-ZXIO,Vale of the Silent,7,0,0,376,F
30000307,B-E3KQ,Vale of the Silent,2,0,0,0,F
30000308,Y5J-EU,Vale of the Silent,13,0,0,0,F
30000309,O-LR1H,Vale of the Silent,2,0,0,0,F
30000310,G5ED-Y,Vale of the Silent,3,0,0,0,T
30000311,BR-6XP,Vale of the Silent,3,0,0,0,F
30000312,8-TFDX,Vale of the Silent,1,0,0,0,F
30000313,UL-4ZW,Vale of the Silent,11,1,1,0,F
30000314,A-QRQT,Vale of the Silent,1,0,0,0,F
30000315,WMBZ-U,Vale of the Silent,2,0,0,0,T
30000316,PX5-LR,Vale of the Silent,2,0,0,0,F
30000317,A3-RQ3,Vale of the Silent,2,0,2,63,T
30000318,9-GBPD,Vale of the Silent,6,0,0,0,F
30000319,LS-JEP,Vale of the Silent,7,0,0,0,T
30000320,R-RSZZ,Vale of the Silent,12,0,0,0,F
30000321,MGAM-4,Vale of the Silent,12,0,0,128,T
30000322,VORM-W,Vale of the Silent,4,0,0,0,T
30000323,7G-H7D,Vale of the Silent,15,0,0,11,F
30000324,Q3-BAY,Vale of the Silent,11,1,0,0,T
30000325,JZV-F4,Vale of the Silent,23,0,0,41,T
30000433,WU-FHQ,Detorid,3,0,0,0,F
30000434,V-4DBR,Detorid,4,0,0,0,F
30000435,B-5UFY,Detorid,5,0,0,0,F
30000436,SK42-F,Detorid,1,0,0,0,F
30000437,EU9-J3,Detorid,1,0,0,0,F
30000438,PQRE-W,Detorid,4,0,0,19,T
30000439,OEG-K9,Detorid,2,0,0,0,F
30000440,0-W778,Detorid,28,0,0,0,T
30000441,DG-8VJ,Detorid,37,0,0,0,T
30000442,5J4K-9,Detorid,0,0,0,0,F
30000443,MD-0AW,Detorid,32,0,0,0,T
30000444,H-FGJO,Detorid,16,0,0,0,F
30000445,1KAW-T,Detorid,7,0,0,0,F
30000446,C5-SUU,Detorid,30,0,0,0,F
30000447,XSUD-1,Detorid,7,0,0,0,F
30000448,3-LJW3,Detorid,34,0,0,0,T
30000449,ZLO3-V,Detorid,25,0,0,257,F
30000450,P7MI-T,Detorid,10,0,0,0,F
30000451,JFV-ID,Detorid,5,0,0,188,F
30000452,3-3EZB,Detorid,15,0,0,0,F
30000453,52CW-6,Detorid,11,0,0,0,F
30000454,9-OUGJ,Detorid,4,0,0,0,F
30000455,4NDT-W,Detorid,38,0,0,0,F
30000456,GR-X26,Detorid,7,0,0,0,F
30000457,6OU9-U,Detorid,6,0,0,0,F
30000458,9N-0HF,Detorid,5,0,0,0,F
30000459,U-OVFR,Detorid,7,0,0,0,F
30000460,G3D-ZT,Detorid,7,0,0,0,T
30000461,D-0UI0,Detorid,4,0,0,0,F
30000462,L8-WNE,Detorid,6,0,0,0,F
30000463,1-GBVE,Detorid,5,0,0,0,F
30000464,GC-LTF,Detorid,0,0,0,84,F
30000465,NB-ALM,Detorid,0,0,0,209,F
30000466,LT-XI4,Detorid,8,0,0,0,F
30000467,L-QQ6P,Detorid,8,0,0,0,F
30000468,5OJ-G2,Detorid,12,0,0,0,F
30000469,9-02G0,Detorid,6,0,0,61,F
30000470,XA5-TY,Detorid,7,0,0,104,T
30000471,M-XUZZ,Detorid,6,0,0,0,F
30000472,OFVH-Y,Detorid,7,0,0,0,F
30000473,2-X0PF,Detorid,7,0,0,135,F
30000474,1-PGSG,Detorid,1,0,0,15,F
30000475,QLPX-J,Detorid,1,0,0,0,F
30000476,A-C5TC,Detorid,1,0,0,0,F
30000477,RZ-PIY,Detorid,1,0,0,0,F
30000478,FR46-E,Detorid,9,0,0,0,F
30000479,SLVP-D,Detorid,13,0,0,3,F
30000480,0-G8NO,Detorid,11,0,0,363,T
30000481,QRFJ-Q,Detorid,5,0,0,0,F
30000482,HZFJ-M,Detorid,15,0,0,50,T
30000483,77S8-E,Detorid,24,0,0,0,T
30000484,FMH-OV,Detorid,2,0,0,294,T
30000485,TYB-69,Detorid,14,0,0,0,T
30000486,EDQG-L,Detorid,9,0,0,122,F
30000487,7-P1JO,Detorid,4,0,0,0,F
30000488,T-0JWP,Detorid,0,0,0,0,F
30000489,J-L9MA,Detorid,3,0,0,73,F
30000490,DX-TAR,Detorid,3,0,0,0,F
30000491,A-7XFN,Detorid,3,0,0,0,F
30000492,O3-4MN,Detorid,15,0,0,0,F
30000493,U-MFTL,Detorid,6,0,0,0,F
30000494,8FN-GP,Detorid,9,0,0,0,F
30000495,FIDY-8,Detorid,8,0,0,0,F
30000496,X40H-9,Detorid,6,0,0,0,F
30000497,F2W-C6,Detorid,4,0,0,0,F
30000498,KZ9T-C,Detorid,6,0,0,0,F
30000499,XW2H-V,Detorid,1,0,0,0,T
30000500,F9O-U9,Detorid,1,0,0,0,F
30000501,S-51XG,Detorid,4,0,0,0,F
30000502,E-1XVP,Detorid,4,0,0,0,F
30000503,E-ACV6,Detorid,4,0,0,0,T
30000504,BOZ1-O,Detorid,4,0,0,50,F
30000505,QIMO-2,Detorid,0,0,0,0,F
30000506,Z-2Y2Y,Detorid,0,0,0,0,F
30000507,Q0J-RH,Detorid,2,0,0,0,F
30000508,SAI-T9,Detorid,13,0,0,0,F
30000509,IAS-I5,Detorid,17,0,0,136,F
30000510,K7S-FF,Detorid,2,0,0,106,F
30000511,RT-9WL,Detorid,28,0,0,0,F
30000512,O5Q7-U,Detorid,56,1,0,220,T
30000513,62O-UE,Detorid,11,0,0,0,F
30000514,U0W-DR,Detorid,6,0,0,0,T
30000515,SY-UWN,Detorid,2,0,0,0,F
30000516,DX-DFJ,Detorid,3,0,0,0,F
30000517,X-31TE,Detorid,5,0,0,27,F
30000518,DVWV-3,Detorid,2,0,0,0,F
30000519,KE-0FB,Detorid,2,0,0,0,F
30000520,I-9GI1,Detorid,4,0,0,0,F
30000521,W6P-7U,Detorid,9,0,0,0,F
30000522,0IF-26,Detorid,5,0,0,159,T
30000523,H-93YV,Detorid,6,0,0,267,F
30000524,E51-JE,Detorid,1,0,0,0,F
30000525,7-A6XV,Detorid,5,0,0,627,F
30000526,QXE-1N,Detorid,4,0,0,8,T
30000527,U69-YC,Detorid,13,0,0,0,F
30000528,L-L7PE,Detorid,3,0,0,477,T
30000529,MKIG-5,Wicked Creek,31,0,0,64,F
30000530,YHEN-G,Wicked Creek,2,0,0,0,F
30000531,E-JCUS,Wicked Creek,6,0,0,94,F
30000532,W-QN5X,Wicked Creek,2,0,0,0,F
30000533,LP1M-Q,Wicked Creek,1,0,0,0,F
30000534,30-YOU,Wicked Creek,16,0,0,0,T
30000535,384-IN,Wicked Creek,1,0,0,43,F
30000536,4F89-U,Wicked Creek,7,0,0,0,T
30000537,G063-U,Wicked Creek,1,0,0,0,F
30000538,J7-BDX,Wicked Creek,6,0,0,0,F
30000539,MLQ-O9,Wicked Creek,2,0,0,262,T
30000540,L-FM3P,Wicked Creek,14,0,0,0,F
30000541,X-ARMF,Wicked Creek,7,1,0,115,T
30000542,8-OZU1,Wicked Creek,8,0,0,0,F
30000543,0TYR-T,Wicked Creek,6,0,0,0,F
30000544,GM-50Y,Wicked Creek,45,0,0,0,F
30000545,G9L-LP,Wicked Creek,10,0,0,30,T
30000546,MWA-5Q,Wicked Creek,7,0,0,0,F
30000547,H-HHTH,Wicked Creek,8,0,0,0,F
30000548,JQU-KY,Wicked Creek,2,0,0,0,F
30000549,UY5A-D,Wicked Creek,3,0,0,0,F
30000550,C-62I5,Wicked Creek,2,0,0,0,F
30000551,ZH-GKG,Wicked Creek,3,0,0,0,F
30000552,GPLB-C,Wicked Creek,28,0,0,0,F
30000553,GGE-5Q,Wicked Creek,4,0,0,0,F
30000554,5E-CMA,Wicked Creek,28,0,0,0,F
30000555,U104-3,Wicked Creek,6,0,0,57,T
30000556,M3-KAQ,Wicked Creek,4,0,0,0,F
30000557,6-L4YC,Wicked Creek,21,0,0,0,F
30000558,UM-SCG,Wicked Creek,10,0,0,0,T
30000559,F-3FOY,Wicked Creek,6,0,0,0,F
30000560,OAIG-0,Wicked Creek,8,0,0,0,F
30000561,UZ-QXW,Wicked Creek,6,0,0,0,F
30000562,5DE-QS,Wicked Creek,13,0,0,0,F
30000563,R0-DMM,Wicked Creek,6,0,0,0,F
30000564,5Q65-4,Wicked Creek,2,0,0,85,T
30000565,SR-4EK,Wicked Creek,0,0,0,0,F
30000566,0RI-OV,Wicked Creek,37,0,0,0,F
30000567,C-LTXS,Wicked Creek,5,0,0,0,F
30000568,C0O6-K,Wicked Creek,1,0,0,0,F
30000569,HD-AJ7,Wicked Creek,0,0,0,0,F
30000570,G9NE-B,Wicked Creek,2,0,0,0,F
30000571,SJJ-4F,Wicked Creek,1,0,0,0,F
30000572,F-QQ5N,Wicked Creek,20,0,0,63,T
30000573,1-7B6D,Wicked Creek,24,0,0,70,T
30000574,H6-EYX,Wicked Creek,6,0,0,0,T
30000575,U-HVIX,Wicked Creek,10,0,0,43,T
30000576,4-EFLU,Wicked Creek,18,0,0,85,T
30000577,EIH-IU,Wicked Creek,22,0,1,0,F
30000578,F-EM4Q,Wicked Creek,2,0,0,0,T
30000579,1L-OEK,Wicked Creek,16,0,0,10,T
30000580,MN-Q26,Wicked Creek,5,0,0,0,T
30000581,5H-SM2,Wicked Creek,13,0,0,0,T
30000582,4-OS2A,Wicked Creek,0,0,0,0,F
30000583,YI-GV6,Wicked Creek,11,0,0,0,F
30000584,SO-X5L,Wicked Creek,0,0,0,0,F
30000585,XQS-GZ,Wicked Creek,7,0,0,0,F
30000586,Q-GQHN,Wicked Creek,6,0,0,0,T
30000587,A-4JOO,Wicked Creek,13,0,0,35,F
30000588,TP7-KE,Wicked Creek,12,0,0,0,F
30000589,R4N-LD,Wicked Creek,9,0,0,0,F
30000590,3Q-VZA,Wicked Creek,14,0,0,30,T
30000591,M-MBRT,Wicked Creek,7,0,0,0,T
30000592,HPBE-D,Wicked Creek,1,0,0,117,F
30000593,GRHS-B,Wicked Creek,9,1,0,634,T
30000594,J-RXYN,Wicked Creek,4,0,0,0,F
30000595,DUO-51,Wicked Creek,2,1,0,0,T
30000596,07-SLO,Wicked Creek,3,0,0,0,T
30000597,Z-A8FS,Wicked Creek,3,0,0,0,F
30000598,GPD5-0,Wicked Creek,1,0,0,0,T
30000599,LKZ-CY,Wicked Creek,8,0,0,0,F
30000600,F5M-CC,Wicked Creek,10,0,0,0,F
30000601,TZE-UB,Wicked Creek,7,0,0,0,F
30000602,WRL4-2,Wicked Creek,2,0,0,0,F
30000603,V7G-RL,Wicked Creek,3,0,0,0,F
30000604,XEN7-0,Wicked Creek,4,0,0,0,F
30000605,L-Z9KJ,Wicked Creek,0,0,0,0,F
30000606,7K-NSE,Wicked Creek,0,0,0,0,F
30000607,OR-7N5,Wicked Creek,0,0,0,0,F
30000608,JEQG-7,Wicked Creek,0,0,0,0,F
30000609,5NQI-E,Wicked Creek,0,0,0,0,F
30000610,B-WQDP,Wicked Creek,0,0,0,0,F
30000611,2-2EWC,Cache,14,0,0,0,F
30000612,E1W-TB,Cache,12,0,0,0,F
30000613,D-6H64,Cache,2,0,0,0,F
30000614,8-BIE3,Cache,2,0,0,0,F
30000615,LMM7-L,Cache,11,0,0,0,F
30000616,995-3G,Cache,4,0,0,0,T
30000617,W2T-TR,Cache,6,0,0,0,F
30000618,Q-UEN6,Cache,12,0,0,0,F
30000619,BLMX-B,Cache,18,0,0,0,F
30000620,M-CNUD,Cache,10,0,0,0,F
30000621,YE1-9S,Cache,3,0,0,0,F
30000622,IVP-KA,Cache,6,0,0,0,F
30000623,04EI-U,Cache,1,0,0,0,F
30000624,B-T6BT,Cache,18,0,0,0,F
30000625,VK-A5G,Cache,12,0,0,0,F
30000626,I6-SYN,Cache,29,0,0,0,T
